Date,Nasdaq,Amazon,Cisco
5/12/1998,145.245577,388.8297875,182.206769
5/13/1998,145.715634,395.2127661,181.3120729
5/14/1998,145.6516012,389.6276598,181.4612595
5/15/1998,144.2000539,381.382971,182.206769
5/18/1998,143.0171051,374.7340268,185.4870218
5/19/1998,144.1297779,384.5744603,191.786786
5/20/1998,143.0272562,377.1276438,187.5745404
5/21/1998,142.1870898,377.6595749,185.4870218
5/22/1998,140.9385546,365.9574313,183.3995385
5/26/1998,138.8373572,348.4042401,181.3120729
5/27/1998,139.0723857,368.6170138,185.6361555
5/28/1998,140.1280599,365.6914901,184.8906459
5/29/1998,138.8982637,374.9999924,180.4175002
6/1/1998,136.3957221,364.3616866,175.4969535
6/2/1998,137.5646214,371.8085031,182.3558145
6/3/1998,136.0435797,359.5744527,178.0318201
6/4/1998,138.2017661,373.4042477,183.3995385
6/5/1998,139.2145008,376.595737,184.7415299
6/8/1998,139.5931981,393.6170214,184.8906459
6/9/1998,140.6074864,436.1702201,189.6620237
6/10/1998,138.4594415,460.6382723,188.767398
6/11/1998,136.6245074,531.9148991,188.6182468
6/12/1998,136.2575244,519.1489419,188.767398
6/15/1998,133.9697092,559.5744405,186.6799148
6/16/1998,136.8876444,626.5957157,190.70573
6/17/1998,138.7054027,672.3404281,192.4950518
6/18/1998,138.4164924,613.8297585,195.924403
6/19/1998,139.0872263,645.2127691,198.3101183
6/22/1998,141.0025779,692.5531774,201.8886384
6/23/1998,144.0282671,788.8297875,207.256445
6/24/1998,146.6198236,849.4680354,209.493009
6/25/1998,145.4868487,843.0850568,207.7037402
6/26/1998,145.9772078,802.1276271,214.4134852
6/29/1998,147.6598757,840.4255473,219.0357293
6/30/1998,147.9456596,848.936153,219.632211
7/1/1998,149.4854403,971.2766085,225.5964288
7/2/1998,147.8878795,1055.319095,220.9741495
7/6/1998,149.0958104,1187.234018,221.8688103
7/7/1998,148.9896196,1039.361649,221.2723286
7/8/1998,151.1197071,911.7020767,224.8508311
7/9/1998,151.4656063,897.8723547,221.7196591
7/10/1998,151.7170386,846.8085259,221.7196591
7/13/1998,153.4731088,915.9574282,224.8508311
7/14/1998,153.6979862,978.7233519,226.3419384
7/15/1998,155.7382771,957.4467891,227.9820913
7/16/1998,156.2083341,964.8936299,228.4294041
7/17/1998,156.8486052,1019.68083,237.9721067
7/20/1998,157.2772762,1170.21271,246.1729414
7/21/1998,154.5358078,1123.936115,236.0337923
7/22/1998,153.8026138,1140.425541,234.9899978
7/23/1998,151.1064296,1086.170223,236.4811757
7/24/1998,150.776143,1057.44682,233.2007995
7/27/1998,150.9533914,1068.617032,232.6043706
7/28/1998,148.08543,1012.23399,229.0258153
7/29/1998,146.9110691,917.5531729,224.2544728
7/30/1998,149.8852213,968.0851192,234.9899978
7/31/1998,146.2005221,943.6169697,228.4294041
8/3/1998,144.5381468,921.2765446,230.2187082
8/4/1998,139.4268824,935.106364,222.1669542
8/5/1998,139.6267681,903.7233535,230.8150841
8/6/1998,142.8523526,931.9148747,237.0775516
8/7/1998,144.2000539,987.234055,231.1132809
8/10/1998,143.6097471,1035.106394,236.6302212
8/11/1998,139.9781385,1055.319095,233.7972283
8/12/1998,142.5415865,1109.574413,235.1391315
8/13/1998,140.7464752,1085.106361,230.6659857
8/14/1998,139.7821511,1044.680862,230.0695745
8/17/1998,141.9567509,1018.616968,234.0953545
8/18/1998,144.8520392,1095.212711,239.015866
8/19/1998,143.881472,1095.744691,241.5506268
8/20/1998,143.08191,1098.93618,244.831003
8/21/1998,140.3615253,1103.723414,245.1291822
8/24/1998,139.8313434,1146.80852,245.7255934
8/25/1998,140.4052559,1120.212743,247.9622279
8/26/1998,138.0596605,1082.978734,247.2167183
8/27/1998,131.6787771,1012.765969,236.4811757
8/28/1998,128.0299927,901.1967902,225.8946609
8/31/1998,117.0648909,712.7659268,195.3279918
9/1/1998,122.9866499,680.4520976,214.7117172
9/2/1998,124.3733924,747.872309,218.5884518
9/3/1998,122.7344456,730.851049,216.2027717
9/4/1998,122.3174888,734.0425383,212.9224836
9/8/1998,129.6837705,785.106367,225.7455272
9/9/1998,126.8486071,719.1489053,216.6500669
9/10/1998,123.786212,677.6595445,210.9840459
9/11/1998,128.1830309,647.3403962,221.2723286
9/14/1998,130.0609046,627.1276468,223.5088926
9/15/1998,131.0306902,621.2765994,230.5168874
9/16/1998,131.9520652,719.1489053,231.2623617
9/17/1998,128.5429892,655.3191194,220.0794886
9/18/1998,129.9109927,678.1914756,218.5138585
9/21/1998,131.2118465,727.6595597,222.7634007
9/22/1998,132.5681357,750.5319159,224.9999824
9/23/1998,137.4459348,894.6808654,237.0775516
9/24/1998,134.3281043,869.148951,232.380679
9/25/1998,136.1435178,929.7872476,237.7484856
9/28/1998,135.8022985,984.0425657,237.0775516
9/29/1998,135.3986191,962.7659054,231.2623617
9/30/1998,132.2589233,949.9999483,221.1977706
10/1/1998,125.8944341,873.4042051,204.8707649
10/2/1998,126.1013541,938.2978533,199.5029583
10/5/1998,119.9882877,891.0904399,172.8876523
10/6/1998,117.97377,921.8085244,165.2832817
10/7/1998,114.2039542,795.2127661,157.0079242
10/8/1998,110.8081556,733.5106072,167.0725505
10/9/1998,116.5370537,776.0638303,179.1500669
10/12/1998,120.7214816,793.0850903,187.425442
10/13/1998,117.8613265,777.6595749,181.3866838
10/14/1998,120.3224822,795.7446485,186.5307811
10/15/1998,125.7913697,826.0638455,203.7524653
10/16/1998,126.5675032,846.2765461,198.1610552
10/19/1998,128.7366318,899.9999817,201.2921743
10/20/1998,127.9917236,908.5105874,193.6878213
10/21/1998,130.7683348,936.1702262,206.2126857
10/22/1998,132.9460513,976.0638424,209.1202719
10/23/1998,132.2604864,988.2978198,210.0149151
10/26/1998,134.6904073,1033.51065,219.632211
10/27/1998,134.1165043,989.8935645,217.3956294
10/28/1998,135.656285,996.2765431,224.9999824
10/29/1998,137.2054352,1076.595755,224.3289779
10/30/1998,138.3142096,1076.063775,225.4472952
11/2/1998,140.6192007,1114.893627,231.486071
11/3/1998,139.6447351,1072.872286,226.7891807
11/4/1998,142.3885388,1104.787179,234.6173135
11/5/1998,143.4449946,1093.616967,242.6689794
11/6/1998,144.9644827,1060.106329,241.326988
11/9/1998,145.3150714,1079.787245,239.7614461
11/10/1998,145.6719034,1121.276605,239.7614461
11/11/1998,145.3978337,1077.65952,236.4064766
11/12/1998,144.53503,1114.893627,233.2753398
11/13/1998,144.295312,1087.233988,231.486071
11/16/1998,145.3642637,1074.468031,239.5377544
11/17/1998,146.679167,1263.829762,246.0238607
11/18/1998,148.156478,1395.744685,260.7852539
11/19/1998,149.8930372,1304.25526,262.3508487
11/20/1998,150.5590719,1537.233979,267.0476156
11/23/1998,154.4015085,1855.319046,272.6390609
11/24/1998,153.5004357,1825.531878,272.6390609
11/25/1998,155.0097631,1789.893516,275.7703564
11/27/1998,157.4482719,1843.617049,286.2823308
11/30/1998,152.2245735,1634.04252,269.7315982
12/1/1998,156.4574121,1782.978752,285.3876699
12/2/1998,155.7905862,1697.872306,280.0199162
12/3/1998,152.5985813,1612.765957,272.6390609
12/4/1998,156.4113462,1604.255254,280.0199162
12/7/1998,159.3378693,1625.531914,286.9532471
12/8/1998,158.8779634,1736.702157,285.6112734
12/9/1998,160.101507,1840.42556,288.96619
12/10/1998,157.4107939,1813.829685,290.5318201
12/11/1998,158.4532003,1897.872367,298.8070718
12/14/1998,153.5816443,1891.489388,287.6242516
12/15/1998,157.1484385,2065.95734,299.7017327
12/16/1998,156.8954526,2459.574483,295.899662
12/17/1998,159.5908552,2355.319101,303.7276185
12/18/1998,162.8906045,2439.893568,323.6331266
12/21/1998,166.9423058,2712.765902,338.8419032
12/22/1998,165.6109988,2743.617031,335.7107488
12/23/1998,169.6369268,2765.957456,345.3279918
12/24/1998,168.895145,2764.361711,337.0526167
12/28/1998,170.2428463,2995.212705,337.0526167
12/29/1998,170.3576249,2828.191497,334.5924138
12/30/1998,169.2004399,2734.042563,331.684863
12/31/1998,171.2102776,2734.042563,332.1321758
1/4/1999,172.4096301,3020.74462,341.0785025
1/5/1999,175.7843449,3178.72334,346.893569
1/6/1999,181.2180992,3523.404184,356.9581953
1/7/1999,181.6264681,4056.382896,370.8250334
1/8/1999,183.0569221,4091.489279,381.7843559
1/11/1999,186.1942827,4713.829692,374.6271041
1/12/1999,181.2095017,4171.276511,351.1431641
1/13/1999,180.901862,3778.723328,343.0913925
1/14/1999,177.7793515,3523.404184,344.8807495
1/15/1999,183.3528571,3584.04248,363.8916673
1/19/1999,188.0354504,3569.680779,380.6658447
1/20/1999,188.6070182,2885.106324,379.7713954
1/21/1999,183.0811322,2706.382924,362.549623
1/22/1999,182.6251247,3140.425468,367.9174473
1/25/1999,185.0011829,2869.148878,370.1540113
1/26/1999,190.006247,2938.56377,383.3498979
1/27/1999,187.9550234,3207.446743,370.1540113
1/28/1999,193.4364162,3137.233979,389.6123124
1/29/1999,195.6656507,2985.638237,399.2295907
2/1/1999,195.9936116,2958.510578,411.5307811
2/2/1999,192.3494976,2814.89356,402.1931835
2/3/1999,194.6911851,3210.638233,397.6639783
2/4/1999,188.1838182,3012.765896,376.6401352
2/5/1999,185.3377222,2958.510578,362.3260548
2/8/1999,187.781683,2786.170156,364.7862224
2/9/1999,180.431805,2553.191438,343.3150665
2/10/1999,180.3310758,2487.765907,352.7086002
2/11/1999,187.8308847,2805.319092,375.2982673
2/12/1999,181.2985072,2668.085052,354.4978867
2/16/1999,180.6723046,2518.085055,354.4978867
2/17/1999,175.6000623,2387.233994,340.4074451
2/18/1999,176.508951,2285.106337,344.2097274
2/19/1999,178.3087518,2601.063777,347.5645911
2/22/1999,182.8695322,2719.148881,365.2335704
2/23/1999,185.5508853,2940.957387,368.3648306
2/24/1999,182.6641658,2832.446751,357.6292174
2/25/1999,181.6834666,3191.489297,352.4851025
2/26/1999,178.6546511,3271.276529,350.0247586
3/1/1999,179.2129319,3395.744612,355.8398604
3/2/1999,176.3902643,3097.340363,342.4204409
3/3/1999,176.872026,3153.191425,340.4074451
3/4/1999,179.0341204,3067.021214,351.5904769
3/5/1999,182.4869366,3102.127597,360.7604424
3/8/1999,187.2116974,3119.680788,374.1798619
3/9/1999,186.8462585,3317.553124,376.863774
3/10/1999,187.8660179,3501.063759,373.5089456
3/11/1999,188.3540323,3443.616951,377.5347961
3/12/1999,185.9553463,3403.723335,369.4830597
3/15/1999,189.8524271,3547.340354,375.7455096
3/16/1999,190.4638176,3416.489292,379.3240473
3/17/1999,189.6595661,3344.680783,379.5476508
3/18/1999,192.3135828,3534.574396,382.4553781
3/19/1999,189.0583362,3448.404185,373.9562231
3/22/1999,187.0805054,3370.212698,367.6937732
3/23/1999,181.3727006,3047.872279,358.9710853
3/24/1999,184.6865089,3157.978659,373.7325843
3/25/1999,190.114792,3571.276523,384.4682328
3/26/1999,188.8943558,3550.531843,376.4164259
3/29/1999,194.6466919,3820.212688,393.6380572
3/30/1999,193.6667552,4204.787149,393.4145595
3/31/1999,192.1917698,4396.276507,392.0725153
4/1/1999,194.6880778,4365.957358,393.4145595
4/5/1999,199.8953819,4761.702031,409.5178206
4/6/1999,200.1382072,4669.148841,412.4253714
4/7/1999,198.6749456,4488.829696,424.9501653
4/8/1999,200.936206,4570.212673,420.9244559
4/9/1999,202.4713163,4669.148841,422.7137424
4/12/1999,202.9210711,4709.042458,421.3718392
4/13/1999,201.7256265,4554.255227,408.3995209
4/14/1999,195.7741957,4289.361615,396.3221104
4/15/1999,196.9056075,4270.212679,394.7564979
4/16/1999,193.9595638,4851.063731,378.2056066
4/19/1999,183.1506361,4057.978641,357.8528209
4/20/1999,188.1502291,4391.489273,363.4443192
4/21/1999,194.3531017,4576.595652,386.2574135
4/22/1999,200.0164133,4852.659476,405.0446925
